task_id,input,output,latency,is_correct
GLM-0001,What is the capital of France?,The capital of France is Paris. It is also the country's largest city and has been the capital since the 10th century.,1898.6,TRUE
GLM-0002,Explain Newton's first law of motion.,"Newton's first law states that an object at rest stays at rest, and an object in motion stays in motion with the same speed and direction, unless acted upon by an external unbalanced force. This is also called the law of inertia.",362.5,TRUE
GLM-0003,What is photosynthesis?,"Photosynthesis is the process by which plants, algae, and some bacteria convert light energy (usually from the sun) into chemical energy stored as glucose. It occurs mainly in the chloroplasts and uses carbon dioxide and water, releasing oxygen as a by-product.",987.6,TRUE
GLM-0004,Who wrote the play Hamlet?,Incorrect response generated,858,FALSE
GLM-0005,What is the speed of light?,"The speed of light in a vacuum is approximately 299,792,458 metres per second, or about 3 × 10^8 m/s. This constant, denoted as 'c', is fundamental to Einstein's theory of special relativity.",2141.2,TRUE
GLM-0006,How does the human immune system work?,Incorrect response generated,1991.7,FALSE
GLM-0007,What is machine learning?,"Machine learning is a subset of artificial intelligence that enables systems to learn from data and improve their performance on tasks without being explicitly programmed. It includes supervised learning (labelled data), unsupervised learning (finding patterns), and reinforcement learning (reward-based).",2530.4,TRUE
GLM-0008,Explain the water cycle.,"The water cycle describes the continuous movement of water on Earth. Water evaporates from oceans and lakes, rises as water vapour, condenses into clouds, and falls back as precipitation (rain or snow). It then flows into rivers and oceans or seeps into the ground as groundwater.",517.3,TRUE
GLM-0009,What is the difference between a virus and a bacterium?,"Bacteria are single-celled living organisms that can reproduce independently and can be killed by antibiotics. Viruses are much smaller, are not technically alive, require a host cell to replicate, and are not affected by antibiotics — antiviral drugs or vaccines are used instead.",1354.8,TRUE
GLM-0010,How does GPS work?,GPS (Global Positioning System) works by using a network of at least 24 satellites orbiting Earth. Your GPS device receives signals from at least 4 satellites and uses the time those signals take to arrive to calculate your precise location through a process called trilateration.,374.5,TRUE
GLM-0011,What is quantum entanglement?,Incorrect response generated,846.6,FALSE
GLM-0012,Describe the French Revolution.,Incorrect response generated,1563.4,FALSE
GLM-0013,What is inflation?,"Inflation is the rate at which the general price level of goods and services rises over time, which correspondingly decreases purchasing power. Central banks attempt to control inflation through monetary policy, typically targeting a 2% annual inflation rate.",366.3,TRUE
GLM-0014,How does a transformer neural network work?,"Transformers are a type of neural network architecture introduced in the paper 'Attention is All You Need' (2017). They rely on a self-attention mechanism that weighs the relevance of each word to every other word in a sequence, enabling parallel processing and capturing long-range dependencies in text.",797.1,TRUE
GLM-0015,What causes rainbows?,"Rainbows are caused by the refraction, dispersion, and reflection of sunlight inside water droplets in the atmosphere. Each colour of light bends at a slightly different angle, separating white light into the spectrum of colours we see — red on the outer edge and violet on the inner edge.",1924.7,TRUE
GLM-0016,What is blockchain technology?,"Blockchain is a distributed ledger technology where data is stored in blocks that are cryptographically linked together in a chain. It is decentralised, meaning no single entity controls it, making it transparent and resistant to modification. It underpins cryptocurrencies like Bitcoin.",1662.4,TRUE
GLM-0017,Explain supply and demand.,"Supply and demand is a fundamental economic model. Demand refers to how much consumers want a product; supply refers to how much producers are willing to offer. When demand exceeds supply, prices rise. When supply exceeds demand, prices fall. The market equilibrium is where supply and demand balance.",851.1,TRUE
GLM-0018,What is the theory of evolution?,"Darwin's theory of evolution states that all species of life have descended from common ancestors through the process of natural selection. Organisms with traits better suited to their environment survive and reproduce more, passing those traits to offspring. Over many generations, this leads to new species.",1773.2,TRUE
GLM-0019,How does the internet work?,Incorrect response generated,2323.6,FALSE
GLM-0020,What is dark matter?,"Dark matter is a hypothetical form of matter that does not emit, absorb, or reflect light, making it invisible and detectable only through its gravitational effects. It is believed to constitute about 27% of the universe's total mass-energy content, though its exact nature remains unknown.",316.2,TRUE
GLM-0021,What is the significance of the Magna Carta?,"The Magna Carta, signed in 1215, was a royal charter that limited the power of the English king and established that everyone, including the king, was subject to the law. It is considered a foundational document in the history of democracy and human rights.",2314.5,TRUE
GLM-0022,Explain how vaccines work.,"Vaccines work by introducing a weakened, killed, or partial form of a pathogen (or its genetic instructions) into the body. This triggers the immune system to produce antibodies and create memory cells. If the person later encounters the real pathogen, their immune system can respond quickly and effectively.",2045.3,TRUE
GLM-0023,What is entropy in thermodynamics?,"Entropy is a measure of the disorder or randomness in a system. The second law of thermodynamics states that in any isolated system, entropy tends to increase over time. This explains why heat flows from hot to cold objects and why perpetual motion machines are impossible.",1150.6,TRUE
GLM-0024,How do black holes form?,"Black holes form when massive stars (at least 20 times the mass of the Sun) exhaust their nuclear fuel and collapse under their own gravity during a supernova. The collapsing core becomes so dense that its gravitational pull prevents even light from escaping, creating an event horizon.",688.7,TRUE
GLM-0025,What is the significance of the Turing Test?,"The Turing Test, proposed by Alan Turing in 1950, is a benchmark for machine intelligence. A machine passes the test if a human judge cannot reliably distinguish between the machine's and a human's responses in a conversation. It remains influential in AI research and philosophy of mind.",2693,TRUE
GLM-0026,Describe the process of cell division.,"Cell division occurs through two main processes: mitosis (for growth and repair) and meiosis (for reproduction). In mitosis, a cell duplicates its DNA and divides into two identical daughter cells. In meiosis, cells divide twice to produce four genetically unique cells with half the original chromosome count.",1141.5,TRUE
GLM-0027,What is the greenhouse effect?,Incorrect response generated,531.9,FALSE
GLM-0028,How does the stock market work?,"The stock market is a marketplace where buyers and sellers trade shares of publicly listed companies. Companies raise capital by issuing shares in an IPO. Investors buy shares hoping their value will rise. Prices fluctuate based on supply, demand, company performance, and macroeconomic factors.",541.8,TRUE
GLM-0029,What is CRISPR technology?,"CRISPR-Cas9 is a gene editing technology that acts like molecular scissors, allowing scientists to cut and modify DNA at specific locations with high precision. It is derived from a natural bacterial immune system and has applications in medicine, agriculture, and biological research.",2418.7,TRUE
GLM-0030,Explain the concept of artificial general intelligence (AGI).,"AGI refers to a hypothetical type of artificial intelligence that would have the ability to understand, learn, and apply knowledge across any intellectual task that a human can do. Unlike narrow AI (which excels at specific tasks), AGI would have general reasoning and problem-solving capabilities across domains.",1809.3,TRUE
